rs; dli; mli; step; aInd; aCom; aAll
2;0.2;19;674;246;158;404
2;0.2;19;675;246;159;405
2;0.2;19;676;248;164;412
2;0.2;19;677;247;169;416
2;0.2;19;678;248;174;422
2;0.2;19;679;249;179;428
2;0.2;19;680;250;183;433
2;0.2;19;681;250;186;436
2;0.2;19;682;250;186;436
2;0.2;19;683;250;186;436
2;0.2;19;684;251;187;438
2;0.2;19;685;248;189;437
2;0.2;19;686;248;190;438
2;0.2;19;687;248;190;438
2;0.2;19;688;247;190;437
2;0.2;19;689;247;190;437
2;0.2;19;690;248;190;438
2;0.2;19;691;247;190;437
2;0.2;19;692;250;190;440
2;0.2;19;693;248;190;438
2;0.2;19;694;249;193;442
2;0.2;19;695;248;193;441
2;0.2;19;696;249;193;442
2;0.2;19;697;248;192;440
2;0.2;19;698;247;192;439
2;0.2;19;699;247;192;439
2;0.2;19;700;247;192;439
2;0.2;19;701;248;192;440
2;0.2;19;702;248;192;440
2;0.2;19;703;247;192;439
2;0.2;19;704;247;192;439
2;0.2;19;705;247;192;439
2;0.2;19;706;247;192;439
2;0.2;19;707;246;192;438
2;0.2;19;708;247;192;439
2;0.2;19;709;248;192;440
2;0.2;19;710;247;192;439
2;0.2;19;711;246;192;438
2;0.2;19;712;248;192;440
2;0.2;19;713;247;192;439
2;0.2;19;714;247;192;439
2;0.2;19;715;246;191;437
2;0.2;19;716;246;191;437
2;0.2;19;717;244;191;435
2;0.2;19;718;243;190;433
2;0.2;19;719;244;192;436
2;0.2;19;720;242;192;434
2;0.2;19;721;241;192;433
2;0.2;19;722;241;193;434
2;0.2;19;723;241;193;434
2;0.2;19;724;241;193;434
2;0.2;19;725;241;193;434
2;0.2;19;726;242;193;435
2;0.2;19;727;244;193;437
2;0.2;19;728;244;193;437
2;0.2;19;729;245;193;438
2;0.2;19;730;245;194;439
2;0.2;19;731;245;194;439
2;0.2;19;732;245;194;439
2;0.2;19;733;246;194;440
2;0.2;19;734;246;194;440
2;0.2;19;735;248;194;442
2;0.2;19;736;249;194;443
2;0.2;19;737;248;194;442
2;0.2;19;738;247;194;441
2;0.2;19;739;247;194;441
2;0.2;19;740;246;194;440
2;0.2;19;741;246;194;440
2;0.2;19;742;247;194;441
2;0.2;19;743;249;194;443
2;0.2;19;744;247;194;441
2;0.2;19;745;247;194;441
2;0.2;19;746;250;197;447
2;0.2;19;747;248;205;453
2;0.2;19;748;245;215;460
2;0.2;19;749;245;218;463
2;0.2;19;750;245;217;462
2;0.2;19;751;245;223;468
2;0.2;19;752;244;227;471
2;0.2;19;753;245;229;474
2;0.2;19;754;244;229;473
2;0.2;19;755;246;229;475
2;0.2;19;756;245;228;473
2;0.2;19;757;244;229;473
2;0.2;19;758;245;228;473
2;0.2;19;759;244;228;472
2;0.2;19;760;244;228;472
2;0.2;19;761;243;228;471
2;0.2;19;762;245;229;474
2;0.2;19;763;246;229;475
2;0.2;19;764;248;231;479
2;0.2;19;765;248;238;486
2;0.2;19;766;246;240;486
2;0.2;19;767;246;241;487
2;0.2;19;768;245;241;486
2;0.2;19;769;245;241;486
2;0.2;19;770;247;241;488
2;0.2;19;771;245;241;486
2;0.2;19;772;246;241;487
2;0.2;19;773;246;241;487
2;0.2;19;774;244;241;485
2;0.2;19;775;243;241;484
2;0.2;19;776;242;241;483
2;0.2;19;777;243;241;484
2;0.2;19;778;242;241;483
2;0.2;19;779;243;241;484
2;0.2;19;780;242;241;483
2;0.2;19;781;242;241;483
2;0.2;19;782;240;241;481
2;0.2;19;783;241;241;482
2;0.2;19;784;240;240;480
2;0.2;19;785;242;240;482
2;0.2;19;786;242;240;482
2;0.2;19;787;243;240;483
2;0.2;19;788;244;240;484
2;0.2;19;789;245;240;485
2;0.2;19;790;246;240;486
2;0.2;19;791;245;240;485
2;0.2;19;792;247;240;487
2;0.2;19;793;249;246;495
2;0.2;19;794;248;258;506
2;0.2;19;795;248;261;509
2;0.2;19;796;246;262;508
2;0.2;19;797;246;261;507
2;0.2;19;798;246;262;508
2;0.2;19;799;246;263;509
2;0.2;19;800;247;264;511
2;0.2;19;801;246;264;510
2;0.2;19;802;246;264;510
2;0.2;19;803;246;264;510
2;0.2;19;804;247;264;511
2;0.2;19;805;247;266;513
2;0.2;19;806;248;266;514
2;0.2;19;807;249;266;515
2;0.2;19;808;251;266;517
2;0.2;19;809;249;266;515
2;0.2;19;810;249;266;515
2;0.2;19;811;247;266;513
2;0.2;19;812;249;266;515
2;0.2;19;813;250;266;516
2;0.2;19;814;249;266;515
2;0.2;19;815;248;266;514
2;0.2;19;816;248;266;514
2;0.2;19;817;249;266;515
2;0.2;19;818;248;266;514
2;0.2;19;819;248;266;514
2;0.2;19;820;248;266;514
2;0.2;19;821;247;266;513
2;0.2;19;822;248;266;514
2;0.2;19;823;249;266;515
2;0.2;19;824;248;267;515
2;0.2;19;825;249;269;518
2;0.2;19;826;249;271;520
2;0.2;19;827;246;271;517
2;0.2;19;828;247;271;518
2;0.2;19;829;247;271;518
2;0.2;19;830;248;271;519
2;0.2;19;831;247;271;518
2;0.2;19;832;248;271;519
2;0.2;19;833;248;271;519
2;0.2;19;834;251;272;523
2;0.2;19;835;251;271;522
2;0.2;19;836;252;272;524
2;0.2;19;837;251;272;523
2;0.2;19;838;251;271;522
2;0.2;19;839;249;271;520
2;0.2;19;840;249;271;520
2;0.2;19;841;249;271;520
2;0.2;19;842;250;271;521
2;0.2;19;843;251;271;522
2;0.2;19;844;250;271;521
2;0.2;19;845;251;271;522
2;0.2;19;846;251;271;522
2;0.2;19;847;253;271;524
2;0.2;19;848;251;274;525
2;0.2;19;849;251;274;525
2;0.2;19;850;251;280;531
2;0.2;19;851;254;284;538
2;0.2;19;852;253;285;538
2;0.2;19;853;253;285;538
2;0.2;19;854;255;286;541
2;0.2;19;855;255;289;544
2;0.2;19;856;254;299;553
2;0.2;19;857;255;303;558
2;0.2;19;858;256;308;564
2;0.2;19;859;256;308;564
2;0.2;19;860;256;311;567
2;0.2;19;861;255;312;567
2;0.2;19;862;254;311;565
2;0.2;19;863;255;312;567
2;0.2;19;864;255;312;567
2;0.2;19;865;255;312;567
2;0.2;19;866;258;312;570
2;0.2;19;867;256;312;568
2;0.2;19;868;256;314;570
2;0.2;19;869;256;314;570
